"","transaction_id","trans_group_en","property_usage_en","procedure_name_en","property_sub_type_en","instance_date","area_id","area_name_en","procedure_area","actual_worth","meter_sale_price"
"67771","1-11-2023-26552","Sales","Commercial","Sell","Office","2023-08-22","350","Al Thanyah Fifth","110.96","895770.0","8072.91"
"68354","1-11-2023-2693","Sales","Commercial","Sell","Office","2023-01-30","350","Al Thanyah Fifth","75.99","2535645.0","33368.14"
"68442","1-11-2023-38393","Sales","Commercial","Sell","Office","2023-11-23","350","Al Thanyah Fifth","102.35","765000.0","7474.35"
"69170","1-11-2023-38865","Sales","Commercial","Sell","","2023-11-27","343","Al Warsan First","154.0","1600000.0","10389.61"
"69390","1-11-2023-42","Sales","Commercial","Sell","","2023-01-02","410","Palm Jumeirah","622.44","24750000.0","39762.87"
"69470","1-11-2023-41488","Sales","Commercial","Sell","Office","2023-12-18","526","Business Bay","80.36","1080000.0","13439.52"
"69584","1-11-2023-10680","Sales","Commercial","Sell","","2023-04-11","350","Al Thanyah Fifth","546.7","4550000.0","8322.66"
"69773","1-11-2023-23574","Sales","Commercial","Sell","","2023-07-31","267","Al Raffa","933.02","27963371.0","29970.82"
"69787","1-11-2023-15506","Sales","Commercial","Sell","Office","2023-05-22","350","Al Thanyah Fifth","64.63","450000.0","6962.71"
"70028","1-11-2023-43053","Sales","Commercial","Sell","Office","2023-12-26","350","Al Thanyah Fifth","56.49","760000.0","13453.71"
"70371","1-11-2023-42066","Sales","Commercial","Sell","","2023-12-19","266","Al Satwa","1415.35","17139285.0","12109.57"
"70501","1-11-2023-17239","Sales","Commercial","Sell","","2023-06-05","410","Palm Jumeirah","621.92","29000000.0","46629.79"
"70520","1-11-2023-32323","Sales","Commercial","Sell","Office","2023-10-09","526","Business Bay","45.76","670000.0","14641.61"
"70559","1-11-2023-25239","Sales","Commercial","Sell","Office","2023-08-10","526","Business Bay","40.85","500000.0","12239.9"
"71064","1-11-2023-24158","Sales","Commercial","Sell","","2023-08-01","485","Me'Aisem First","706.75","10200000.0","14432.26"
"71361","1-11-2023-1310","Sales","Commercial","Sell","Shop","2023-01-17","343","Al Warsan First","59.0","399147.0","6765.21"
"71694","1-11-2023-17974","Sales","Commercial","Sell","Office","2023-06-08","526","Business Bay","286.31","7242277.0","25295.23"
"72293","1-11-2023-16348","Sales","Commercial","Sell","Office","2023-05-29","350","Al Thanyah Fifth","67.54","1381300.0","20451.58"
"72405","1-11-2023-34845","Sales","Commercial","Sell","","2023-10-30","350","Al Thanyah Fifth","762.32","7200000.0","9444.85"
"72885","1-11-2023-31514","Sales","Commercial","Sell","Office","2023-10-02","526","Business Bay","107.66","1300000.0","12075.05"
"73358","1-11-2023-38816","Sales","Commercial","Sell","","2023-11-27","445","Jabal Ali First","1992.84","14200000.0","7125.51"
"73386","1-11-2023-19309","Sales","Commercial","Sell","Office","2023-06-19","350","Al Thanyah Fifth","101.84","1589490.0","15607.72"
"73693","1-11-2023-33712","Sales","Commercial","Sell","Office","2023-10-19","526","Business Bay","99.92","1110000.0","11108.89"
"73818","1-11-2023-20890","Sales","Commercial","Sell","Office","2023-07-04","350","Al Thanyah Fifth","165.53","2549000.0","15399.02"
"74117","1-11-2023-20055","Sales","Commercial","Sell","Office","2023-06-23","526","Business Bay","237.2","3646977.0","15375.12"
"74256","1-11-2023-13089","Sales","Commercial","Sell","","2023-05-03","410","Palm Jumeirah","622.64","21650000.0","34771.3"
"74271","1-11-2023-1632","Sales","Commercial","Sell","Shop","2023-01-19","441","Al Barsha South Fourth","35.34","591811.0","16746.21"
"74442","1-11-2023-849","Sales","Commercial","Sell","Office","2023-01-10","350","Al Thanyah Fifth","139.3","892150.0","6404.52"
"74559","1-11-2023-1798","Sales","Commercial","Sell","Office","2023-01-20","443","Al Thanyah First","322.46","2900000.0","8993.36"
"74769","1-11-2023-8219","Sales","Commercial","Sell","Office","2023-03-20","350","Al Thanyah Fifth","72.25","435000.0","6020.76"
"74771","1-11-2023-13562","Sales","Commercial","Sell","Office","2023-05-11","526","Business Bay","107.66","700000.0","6501.95"
"74879","1-11-2023-25900","Sales","Commercial","Sell","","2023-08-16","267","Al Raffa","477.06","6800000.0","14253.97"
"74983","1-11-2023-29803","Sales","Commercial","Sell","","2023-09-19","350","Al Thanyah Fifth","988.62","13700000.0","13857.7"
"75142","1-11-2023-2724","Sales","Commercial","Sell","Office","2023-01-31","526","Business Bay","40.89","462147.0","11302.2"
"75405","1-11-2023-9238","Sales","Commercial","Sell","","2023-03-29","485","Me'Aisem First","709.8","9550000.0","13454.49"
"75972","1-11-2023-36509","Sales","Commercial","Sell","","2023-11-09","350","Al Thanyah Fifth","988.49","18000000.0","18209.59"
"76002","1-11-2023-33149","Sales","Commercial","Sell","","2023-10-16","441","Al Barsha South Fourth","1507.5","20000000.0","13267.0"
"76219","1-11-2023-12567","Sales","Commercial","Sell","Office","2023-05-01","341","Trade Center First","268.94","4800000.0","17847.85"
"76360","1-11-2023-32597","Sales","Commercial","Sell","Office","2023-10-11","350","Al Thanyah Fifth","117.06","1197613.0","10230.77"
"76810","1-11-2023-6576","Sales","Commercial","Sell","","2023-03-08","465","Wadi Al Safa 3","2567.78","72000000.0","28039.79"
"76858","1-11-2023-41331","Sales","Commercial","Sell","Office","2023-12-13","526","Business Bay","29.2","450000.0","15410.96"
"76978","1-11-2023-22240","Sales","Commercial","Sell","","2023-07-17","467","Wadi Al Safa 5","3048.03","8541000.0","2802.14"
"77058","1-11-2023-22801","Sales","Commercial","Sell","Office","2023-07-18","526","Business Bay","64.72","766304.0","11840.3"
"77156","1-11-2023-6452","Sales","Commercial","Sell","","2023-03-07","343","Al Warsan First","159.79","1600000.0","10013.14"
